time,x,y,z,roll,pitch,yaw
1638729706.483173,,,,,,
1638729706.5422034,,,,,,
1638729706.6010687,,,,,,
1638729706.660639,,,,,,
1638729706.718184,,,,,,
1638729706.778511,,,,,,
1638729706.8416862,,,,,,
1638729706.897318,,,,,,
1638729706.9635353,,,,,,
1638729707.0200126,,,,,,
1638729707.0809257,,,,,,
1638729707.1432927,,,,,,
1638729707.1998138,,,,,,
1638729707.2595825,,,,,,
1638729707.322801,,,,,,
1638729707.3787367,,,,,,
1638729707.44097,,,,,,
1638729707.5000896,,,,,,
1638729707.559005,,,,,,
1638729707.6223884,,,,,,
1638729707.6805975,,,,,,
1638729707.741065,,,,,,
1638729707.7992046,,,,,,
1638729707.8591464,,,,,,
1638729707.9209964,,,,,,
1638729707.9824803,,,,,,
1638729708.0420809,,,,,,
1638729708.0994766,,,,,,
1638729708.1604233,,,,,,
1638729708.219355,,,,,,
1638729708.2818582,,,,,,
1638729708.3405497,,,,,,
1638729708.4000547,,,,,,
1638729708.4591558,,,,,,
1638729708.5193703,,,,,,
1638729708.584507,,,,,,
1638729708.6442153,,,,,,
1638729708.7031193,2.6139423526748864,1.2456738365867597,-0.3374301281502119,-10.805822672331294,43.16803410825632,-176.83480761293083
1638729708.7602956,,,,,,
1638729708.8177717,,,,,,
1638729708.877659,,,,,,
1638729708.943684,,,,,,
1638729708.9998791,,,,,,
1638729709.0590584,,,,,,
1638729709.1186745,,,,,,
1638729709.181061,,,,,,
1638729709.2409768,,,,,,
1638729709.2977846,,,,,,
1638729709.3610144,,,,,,
1638729709.4216151,,,,,,
1638729709.4786632,,,,,,
1638729709.5443122,,,,,,
1638729709.6007726,,,,,,
1638729709.6595767,,,,,,
1638729709.7178571,,,,,,
1638729709.7805445,,,,,,
1638729709.8397546,,,,,,
1638729709.899979,,,,,,
1638729709.962586,,,,,,
1638729710.023063,,,,,,
1638729710.0834808,,,,,,
1638729710.1415782,,,,,,
1638729710.207418,2.8536516233578584,1.2749914641269204,-0.26383560386426985,-13.830635064539521,21.3929180567998,-172.9033574360118
1638729710.261407,,,,,,
1638729710.318259,,,,,,
1638729710.379994,,,,,,
