time,x,y,z,roll,pitch,yaw
1638729801.0288882,,,,,,
1638729801.163181,,,,,,
1638729801.2257428,,,,,,
1638729801.2813404,,,,,,
1638729801.3389425,,,,,,
1638729801.3988721,,,,,,
1638729801.4610097,,,,,,
1638729801.5173368,,,,,,
1638729801.578791,,,,,,
1638729801.6377423,,,,,,
1638729801.7016048,0.6397624964545875,-0.11285940105037055,0.9380499166664343,11.355238669319789,29.268015925977817,77.67257787878259
1638729801.7657835,0.5150394779132819,-0.14811981400808932,1.0076334307819421,8.341445809871004,22.65844032958414,78.56400703986226
1638729801.8201272,,,,,,
1638729801.8829212,0.6682381219208733,-0.12607736636440958,0.7663381853749844,7.962120415839081,34.517112377115055,83.47684413099309
1638729801.9400728,,,,,,
1638729802.0055828,0.5524783604083054,-0.09913114168665454,0.8299754390880485,8.739336788480898,26.496305348516128,82.74489942922504
1638729802.0612023,0.5445574336499184,-0.09590824779663339,0.8179393205408533,8.76540861687073,26.509153809055704,82.96848150911975
1638729802.1221216,0.552122610030514,-0.09361741792461704,0.8009327049371688,9.03729674896374,27.5884707750623,82.81101074993369
1638729802.1783347,,,,,,
1638729802.2372575,,,,,,
1638729802.2995002,,,,,,
1638729802.3589783,,,,,,
1638729802.4194372,,,,,,
1638729802.483905,,,,,,
1638729802.5406969,,,,,,
1638729802.5981529,,,,,,
1638729802.6595576,,,,,,
1638729802.7176347,,,,,,
1638729802.778583,,,,,,
1638729802.8348455,,,,,,
1638729802.895141,,,,,,
1638729802.9549987,,,,,,
1638729803.0145333,,,,,,
1638729803.0807104,,,,,,
1638729803.1205251,,,,,,
1638729803.1994548,,,,,,
1638729803.2560906,,,,,,
1638729803.3197827,,,,,,
1638729803.3783019,,,,,,
1638729803.4419866,,,,,,
1638729803.4999657,,,,,,
1638729803.5575447,,,,,,
1638729803.6200738,,,,,,
1638729803.6803446,,,,,,
1638729803.737849,,,,,,
1638729803.8001487,,,,,,
1638729803.8575332,,,,,,
1638729803.9176679,,,,,,
1638729803.9786458,,,,,,
1638729804.0386105,,,,,,
1638729804.0977218,,,,,,
1638729804.1578493,,,,,,
1638729804.217403,,,,,,
1638729804.2775016,,,,,,
1638729804.3377256,,,,,,
1638729804.3980002,,,,,,
1638729804.4594266,,,,,,
1638729804.5168304,,,,,,
1638729804.5772524,,,,,,
1638729804.6364198,,,,,,
1638729804.6988788,,,,,,
1638729804.757219,,,,,,
1638729804.8159053,,,,,,
1638729804.8779454,,,,,,
1638729804.9385214,,,,,,
1638729804.9973679,,,,,,
1638729805.0551903,,,,,,
1638729805.1171367,,,,,,
1638729805.175518,,,,,,
1638729805.2348356,,,,,,
1638729805.3010874,,,,,,
